cFECHAINI,CELULAR,cbstart,cbend,cFECHAFIN
2023-07-01 02:04:12.87,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:04:15.18
2023-07-01 02:04:15.80,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:04:18.60
2023-07-01 02:11:35.40,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:11:37.55
2023-07-01 02:11:39.37,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:11:39.66
2023-07-01 02:13:58.62,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:13:59.57
2023-07-01 02:16:14.56,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 02:16:16.26
2023-07-01 02:20:30.90,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 02:20:32.02
2023-07-01 02:23:53.57,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-01 02:23:54.69
2023-07-01 02:23:55.26,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-01 02:23:56.00
2023-07-01 02:23:56.83,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-01 02:23:57.11
2023-07-01 02:23:57.32,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-01 02:23:57.60
2023-07-01 02:24:01.22,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-01 02:24:03.44
2023-07-01 02:29:47.69,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-07-01 02:29:51.20
2023-06-30 09:10:58.12,11c8011f-41cb-49d7-bf2f-d277977d01a1,100,28,2023-07-01 06:41:04.81
2023-07-01 12:55:18.87,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 12:55:19.79
2023-07-01 12:55:24.29,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 12:55:26.59
2023-07-01 12:55:31.73,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 12:55:34.43
2023-07-01 12:55:36.80,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 12:55:39.19
2023-07-01 13:04:27.95,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-07-01 13:04:29.29
2023-07-01 13:33:45.14,f44e072b-5325-4d79-a16f-b4f1f9271fda,13,13,2023-07-01 13:33:47.20
2023-07-01 18:04:30.62,f44e072b-5325-4d79-a16f-b4f1f9271fda,12,9,2023-07-01 18:53:55.45
2023-07-01 18:54:00.68,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,8,2023-07-01 18:54:05.34
2023-07-01 07:51:16.23,11c8011f-41cb-49d7-bf2f-d277977d01a1,70,14,2023-07-01 19:28:44.94
2023-07-01 19:35:03.74,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-07-01 19:35:07.30
2023-07-01 19:35:13.56,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-07-01 19:35:14.47
2023-07-01 19:34:11.98,11c8011f-41cb-49d7-bf2f-d277977d01a1,19,19,2023-07-01 19:37:19.34
2023-07-01 19:42:34.90,11c8011f-41cb-49d7-bf2f-d277977d01a1,24,24,2023-07-01 19:44:54.21
2023-07-01 19:37:54.47,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,5,2023-07-01 20:34:29.77
2023-07-01 20:54:41.69,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-07-01 20:58:59.61
2023-07-01 20:59:03.66,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-07-01 21:40:36.38
2023-07-01 21:47:51.02,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-07-01 22:00:33.64
2023-07-01 22:00:47.34,f44e072b-5325-4d79-a16f-b4f1f9271fda,15,15,2023-07-01 23:01:11.60
2023-07-01 23:01:16.37,f44e072b-5325-4d79-a16f-b4f1f9271fda,15,15,2023-07-01 23:01:16.87
2023-07-01 23:03:18.19,f44e072b-5325-4d79-a16f-b4f1f9271fda,17,17,2023-07-01 23:03:19.33
2023-07-01 20:23:08.99,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,18,2023-07-01 23:35:09.48
2023-07-01 23:03:23.92,f44e072b-5325-4d79-a16f-b4f1f9271fda,17,3,2023-07-02 02:25:18.90
2023-07-02 02:47:48.98,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-07-02 02:47:52.39
2023-07-02 03:01:40.38,f44e072b-5325-4d79-a16f-b4f1f9271fda,12,12,2023-07-02 03:01:42.10
2023-07-02 03:01:45.04,f44e072b-5325-4d79-a16f-b4f1f9271fda,12,12,2023-07-02 03:01:47.26
2023-07-02 05:34:02.74,f44e072b-5325-4d79-a16f-b4f1f9271fda,29,29,2023-07-02 05:34:03.07
2023-07-02 05:34:03.92,f44e072b-5325-4d79-a16f-b4f1f9271fda,29,29,2023-07-02 05:34:04.17
2023-07-02 05:34:07.10,f44e072b-5325-4d79-a16f-b4f1f9271fda,29,29,2023-07-02 05:34:09.40
2023-07-02 05:34:11.86,f44e072b-5325-4d79-a16f-b4f1f9271fda,29,29,2023-07-02 05:34:13.87
2023-07-02 05:34:16.31,f44e072b-5325-4d79-a16f-b4f1f9271fda,29,28,2023-07-02 05:34:18.43
2023-07-02 05:44:24.71,f44e072b-5325-4d79-a16f-b4f1f9271fda,29,29,2023-07-02 05:44:25.01
2023-07-02 06:38:51.78,f44e072b-5325-4d79-a16f-b4f1f9271fda,43,43,2023-07-02 07:07:04.32
2023-07-02 07:07:11.06,f44e072b-5325-4d79-a16f-b4f1f9271fda,43,43,2023-07-02 07:07:13.35
2023-07-02 07:07:15.76,f44e072b-5325-4d79-a16f-b4f1f9271fda,43,43,2023-07-02 07:07:18.09
2023-07-02 07:09:12.10,f44e072b-5325-4d79-a16f-b4f1f9271fda,43,4,2023-07-02 11:39:14.48
2023-07-02 11:39:34.26,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-02 11:39:35.10
2023-07-02 11:39:42.76,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-02 11:39:44.69
2023-07-02 11:39:47.28,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-07-02 11:39:49.53
2023-07-02 11:43:38.36,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-07-02 11:43:39.51
2023-07-02 11:43:45.03,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-07-02 11:43:46.41
